2026-01-18 at 22:46:08 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:14 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:15 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:18 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:18 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2026-01-18 at 22:46:18 | INFO | Найдено 20 записей.
2026-01-18 at 22:46:19 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:20 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:21 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:22 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:23 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:23 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:24 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:25 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:25 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:26 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:26 | INFO | Запись Table с ID 17 найдена.
2026-01-18 at 22:46:27 | ERROR | Ошибка при обработке обновления с вебхука: HTTP Client says - ClientOSError: [Errno 104] Connection reset by peer
2026-01-18 at 22:46:37 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:38 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:41 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:41 | INFO | Запись Table с ID 22 найдена.
2026-01-18 at 22:46:42 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:49 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:50 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:53 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:46:53 | INFO | Запись TimeSlot с ID 4 найдена.
2026-01-18 at 22:46:55 | INFO | Обновление успешно обработано.
2026-01-18 at 22:46:59 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:47:00 | INFO | Добавление записи Booking с параметрами: {'user_id': 811370822, 'table_id': 22, 'time_slot_id': 4, 'date': datetime.date(2026, 1, 24), 'status': 'booked'}
2026-01-18 at 22:47:00 | INFO | Запись Booking успешно добавлена.
2026-01-18 at 22:47:00 | INFO | Запланировано уведомление для пользователя 811370822 на 2026-01-18 23:47:00.730277
2026-01-18 at 22:47:00 | INFO | Запланировано уведомление для пользователя 811370822 на 2026-01-19 01:47:00.730277
2026-01-18 at 22:47:00 | INFO | Запланировано уведомление для пользователя 811370822 на 2026-01-19 10:47:00.730277
2026-01-18 at 22:47:00 | INFO | Запланировано уведомление для пользователя 811370822 на 2026-01-19 22:47:00.730277
2026-01-18 at 22:47:01 | INFO | Обновление успешно обработано.
2026-01-18 at 22:48:09 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:48:11 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 811370822}
2026-01-18 at 22:48:11 | INFO | Найдено 1 записей.
2026-01-18 at 22:48:12 | INFO | Обновление успешно обработано.
2026-01-18 at 22:48:18 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:48:18 | INFO | Обновление успешно обработано.
2026-01-18 at 22:48:25 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:48:25 | INFO | Обновление успешно обработано.
2026-01-18 at 22:48:30 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:48:30 | INFO | Удалено 1 записей.
2026-01-18 at 22:48:33 | INFO | Обновление успешно обработано.
2026-01-18 at 22:53:48 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:53:50 | INFO | Обновление успешно обработано.
2026-01-18 at 22:54:50 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:54:53 | INFO | Обновление успешно обработано.
2026-01-18 at 22:57:08 | INFO | Бот остановлен...
2026-01-18 at 22:57:09 | ERROR | Бот остановлен!
2026-01-18 at 22:57:15 | INFO | Бот запущен...
2026-01-18 at 22:57:15 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 22:57:15 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 22:57:15 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 22:57:15 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 22:57:16 | INFO | Бот успешно запущен
2026-01-18 at 22:57:16 | SUCCESS | Вебхук установлен: https://yrefpj-2a03-d000-15f8-5e5a-d4c8-81d4-79f1-8482.ru.tuna.am/webhook
2026-01-18 at 22:57:23 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:57:24 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 811370822}
2026-01-18 at 22:57:24 | INFO | Найдено 0 записей.
2026-01-18 at 22:57:24 | INFO | Обновление успешно обработано.
2026-01-18 at 22:57:26 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:57:26 | INFO | Обновление успешно обработано.
2026-01-18 at 22:57:49 | INFO | Бот остановлен...
2026-01-18 at 22:57:50 | ERROR | Бот остановлен!
2026-01-18 at 22:57:59 | INFO | Бот запущен...
2026-01-18 at 22:57:59 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 22:57:59 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 22:57:59 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 22:57:59 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 22:58:09 | INFO | Бот успешно запущен
